Date,County,WaterTemp,AirTemp,RainFall24h,RainFall3d,RainLastWeek,DayofYear,MaxTemp1d,MaxTemp4d,MaxTemp7d,SeasonalPopulation
2020-03-15,Escambia,72.62083333333334,82.29,0.0002,0.0025,0.007899999999999999,77,79.8,76.59,68.39,300828.0
2020-03-16,Escambia,72.32083333333333,81.57,0.0001,0.0022,0.0073,78,82.29,80.2,70.09,300828.0
2020-03-09,Franklin,67.4125,69.79,0.0007,0.0026,0.0366,71,67.98,74.68,70.04,13269.0
2020-03-10,Franklin,68.40416666666667,72.17,0.0007,0.0023,0.0305,72,69.79,69.8,74.08,13269.0
2020-03-11,Franklin,69.1375,73.93,0.0001,0.0015,0.0237,73,72.17,63.41,75.18,13269.0
2020-03-12,Franklin,70.14166666666667,76.34,0.0003,0.0010999999999999998,0.0177,74,73.93,67.98,74.68,13269.0
2020-03-13,Franklin,70.78333333333333,77.88,0.0002,0.0006000000000000001,0.0039,75,76.34,69.79,69.8,13269.0
2020-03-14,Franklin,70.57916666666667,77.39,0.0001,0.0006000000000000001,0.003,76,77.88,72.17,63.41,13269.0
2020-03-15,Franklin,71.49583333333334,79.59,0.0001,0.0004,0.0022,77,77.39,73.93,67.98,13269.0
2020-03-16,Franklin,71.07083333333333,78.57,0.0001,0.00030000000000000003,0.0016,78,79.59,76.34,69.79,13269.0
2020-03-09,Gulf,68.175,71.62,0.0007,0.0027,0.0441,71,71.42,75.03,72.42,17166.0
2020-03-10,Gulf,69.6,75.04,0.0007,0.0023,0.0366,72,71.62,71.13,75.27,17166.0
2020-03-11,Gulf,70.65416666666667,77.57,0.0002,0.0016,0.0289,73,75.04,66.85,76.59,17166.0
2020-03-12,Gulf,71.3,79.12,0.0002,0.0011,0.0183,74,77.57,71.42,75.03,17166.0
2020-03-13,Gulf,71.87916666666666,80.51,0.0002,0.0006000000000000001,0.004,75,79.12,71.62,71.13,17166.0
2020-03-14,Gulf,72.67916666666667,82.43,0.0001,0.0005,0.003,76,80.51,75.04,66.85,17166.0
